"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"AGS2UY2Z","journalArticle","2021","Li, Jingjing; Lu, Ke; Huang, Zi; Shen, Heng Tao","On Both Cold-Start and Long-Tail Recommendation with Social Data","TKDE","","1041-4347, 1558-2191, 2326-3865","10.1109/TKDE.2019.2924656","https://ieeexplore.ieee.org/document/8745499/","","2021-01-01","2021-09-10 12:40:34","2021-09-14 04:14:20","2021-09-10 12:40:34","194-208","","1","33","","IEEE Trans. Knowl. Data Eng.","","","","","","","","","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\723VWU72\Li 等。 - 2021 - On Both Cold-Start and Long-Tail Recommendation wi.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LFG9W4D4","conferencePaper","2019","Li, Mengmeng; Gan, Tian; Liu, Meng; Cheng, Zhiyong; Yin, Jianhua; Nie, Liqiang","Long-tail Hashtag Recommendation for Micro-videos with Graph Convolutional Network","CIKM","978-1-4503-6976-3","","10.1145/3357384.3357912","https://dl.acm.org/doi/10.1145/3357384.3357912","","2019-11-03","2021-09-12 00:41:46","2021-09-14 04:13:29","2021-09-12 00:41:46","509-518","","","","","","","","","","","ACM","Beijing China","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\TBWBKSIT\Li 等。 - 2019 - Long-tail Hashtag Recommendation for Micro-videos .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CIKM '19: The 28th ACM International Conference on Information and Knowledge Management","","","","","","","","","","","","","","",""
"WTB8XIV2","conferencePaper","2019","Kim, Yejin; Kim, Kwangseob; Park, Chanyoung; Yu, Hwanjo","Sequential and Diverse Recommendation with Long Tail","IJCAI","978-0-9992411-4-1","","10.24963/ijcai.2019/380","https://www.ijcai.org/proceedings/2019/380","Sequential recommendation is a task that learns a temporal dynamic of a user behavior in sequential data and predicts items that a user would like afterward. However, diversity has been rarely emphasized in the context of sequential recommendation. Sequential and diverse recommendation must learn temporal preference on diverse items as well as on general items. Thus, we propose a sequential and diverse recommendation model that predicts a ranked list containing general items and also diverse items without compromising significant accuracy.To learn temporal preference on diverse items as well as on general items, we cluster and relocate consumed long tail items to make a pseudo ground truth for diverse items and learn the preference on long tail using recurrent neural network, which enables us to directly learn a ranking function. Extensive online and offline experiments deployed on a commercial platform demonstrate that our models significantly increase diversity while preserving accuracy compared to the state-of-the-art sequential recommendation model, and consequently our models improve user satisfaction.","2019-08","2021-09-12 00:42:43","2021-09-14 04:13:21","2021-09-12 00:42:43","2740-2746","","","","","","","","","","","International Joint Conferences on Artificial Intelligence Organization","Macao, China","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\MPJ8UIEF\Kim 等。 - 2019 - Sequential and Diverse Recommendation with Long Ta.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Twenty-Eighth International Joint Conference on Artificial Intelligence {IJCAI-19}","","","","","","","","","","","","","","",""
"L7XEE5DX","conferencePaper","2020","Niu, Xichuan; Li, Bofang; Li, Chenliang; Xiao, Rong; Sun, Haochuan; Deng, Hongbo; Chen, Zhenzhong","A Dual Heterogeneous Graph Attention Network to Improve Long-Tail Performance for Shop Search in E-Commerce","KDD","978-1-4503-7998-4","","10.1145/3394486.3403393","https://dl.acm.org/doi/10.1145/3394486.3403393","","2020-08-23","2021-09-12 00:56:59","2021-09-14 04:14:00","2021-09-12 00:56:59","3405-3415","","","","","","","","","","","ACM","Virtual Event CA USA","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\AR4C569U\Niu 等。 - 2020 - A Dual Heterogeneous Graph Attention Network to Im.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","KDD '20: The 26th ACM SIGKDD Conference on Knowledge Discovery and Data Mining","","","","","","","","","","","","","","",""
"YQU6HPXI","conferencePaper","2020","Yin, Jianwen; Liu, Chenghao; Wang, Weiqing; Sun, Jianling; Hoi, Steven C.H.","Learning Transferrable Parameters for Long-tailed Sequential User Behavior Modeling","KDD","978-1-4503-7998-4","","10.1145/3394486.3403078","https://dl.acm.org/doi/10.1145/3394486.3403078","","2020-08-23","2021-09-12 00:58:03","2021-09-14 04:14:09","2021-09-12 00:58:03","359-367","","","","","","","","","","","ACM","Virtual Event CA USA","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\AHIA73KU\Yin 等。 - 2020 - Learning Transferrable Parameters for Long-tailed .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","KDD","","","","","","","","","","","","","","",""
"YCTPMFKE","conferencePaper","2020","Chen, Zhihong; Xiao, Rong; Li, Chenliang; Ye, Gangfeng; Sun, Haochuan; Deng, Hongbo","ESAM: Discriminative Domain Adaptation with Non-Displayed Items to Improve Long-Tail Performance","SIGIR","978-1-4503-8016-4","","10.1145/3397271.3401043","https://dl.acm.org/doi/10.1145/3397271.3401043","","2020-07-25","2021-09-12 01:03:31","2021-09-14 04:13:36","2021-09-12 01:03:31","579-588","","","","","","ESAM","","","","","ACM","Virtual Event China","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\MC8M5BYQ\Chen 等。 - 2020 - ESAM Discriminative Domain Adaptation with Non-Di.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SIGIR '20: The 43rd International ACM SIGIR conference on research and development in Information Retrieval","","","","","","","","","","","","","","",""
"VN7BI73H","conferencePaper","2016","Farid, Mina; Ilyas, Ihab F.; Whang, Steven Euijong; Yu, Cong","LONLIES: Estimating Property Values for Long Tail Entities","SIGIR","978-1-4503-4069-4","","10.1145/2911451.2911466","https://dl.acm.org/doi/10.1145/2911451.2911466","","2016-07-07","2021-09-12 01:05:00","2021-09-14 04:12:51","2021-09-12 01:05:00","1125-1128","","","","","","LONLIES","","","","","ACM","Pisa Italy","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\M5ZH35TK\Farid 等。 - 2016 - LONLIES Estimating Property Values for Long Tail .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SIGIR '16: The 39th International ACM SIGIR conference on research and development in Information Retrieval","","","","","","","","","","","","","","",""
"UPATC2F4","conferencePaper","2020","He, Tao; Gao, Lianli; Song, Jingkuan; Cai, Jianfei; Li, Yuan-Fang","Learning from the Scene and Borrowing from the Rich: Tackling the Long Tail in Scene Graph Generation","IJCAI","978-0-9992411-6-5","","10.24963/ijcai.2020/82","https://www.ijcai.org/proceedings/2020/82","Despite the huge progress in scene graph generation in recent years, its long-tail distribution in object relationships remains a challenging and pestering issue. Existing methods largely rely on either external knowledge or statistical bias information to alleviate this problem. In this paper, we tackle this issue from another two aspects: (1) scene-object interaction aiming at learning specific knowledge from a scene via an additive attention mechanism; and (2) long-tail knowledge transfer which tries to transfer the rich knowledge learned from the head into the tail. Extensive experiments on the benchmark dataset Visual Genome on three tasks demonstrate that our method outperforms current state-of-the-art competitors. Our source code is available at https://github.com/htlsn/issg.","2020-07","2021-09-12 07:30:08","2021-09-14 04:13:54","2021-09-12 07:30:08","587-593","","","","","","Learning from the Scene and Borrowing from the Rich","","","","","International Joint Conferences on Artificial Intelligence Organization","Yokohama, Japan","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\7MSMMPXI\He 等。 - 2020 - Learning from the Scene and Borrowing from the Ric.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Twenty-Ninth International Joint Conference on Artificial Intelligence and Seventeenth Pacific Rim International Conference on Artificial Intelligence {IJCAI-PRICAI-20}","","","","","","","","","","","","","","",""
"F2738JU9","journalArticle","2020","Feldman, Vitaly; Zhang, Chiyuan","What Neural Networks Memorize and Why: Discovering the Long Tail via Influence Estimation","NeurIPS","","","","http://arxiv.org/abs/2008.03703","Deep learning algorithms are well-known to have a propensity for fitting the training data very well and often fit even outliers and mislabeled data points. Such fitting requires memorization of training data labels, a phenomenon that has attracted significant research interest but has not been given a compelling explanation so far. A recent work of Feldman (2019) proposes a theoretical explanation for this phenomenon based on a combination of two insights. First, natural image and data distributions are (informally) known to be long-tailed, that is have a significant fraction of rare and atypical examples. Second, in a simple theoretical model such memorization is necessary for achieving close-to-optimal generalization error when the data distribution is long-tailed. However, no direct empirical evidence for this explanation or even an approach for obtaining such evidence were given. In this work we design experiments to test the key ideas in this theory. The experiments require estimation of the influence of each training example on the accuracy at each test example as well as memorization values of training examples. Estimating these quantities directly is computationally prohibitive but we show that closely-related subsampled influence and memorization values can be estimated much more efficiently. Our experiments demonstrate the significant benefits of memorization for generalization on several standard benchmarks. They also provide quantitative and visually compelling evidence for the theory put forth in (Feldman, 2019).","2020-08-09","2021-09-12 07:35:32","2021-09-14 04:13:45","2021-09-12 07:35:32","","","","","","","What Neural Networks Memorize and Why","","","","","","","","","","","","arXiv.org","","arXiv: 2008.03703","","C:\Users\Administrator\Zotero\storage\K2UCBE54\Feldman 和 Zhang - 2020 - What Neural Networks Memorize and Why Discovering.pdf; C:\Users\Administrator\Zotero\storage\X4C4RJU2\2008.html; C:\Users\Administrator\Zotero\storage\I4Z9FEI5\Feldman 和 Zhang - 2020 - What Neural Networks Memorize and Why Discovering.pdf","","","Computer Science - Machine Learning; Statistics - Machine Learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J4QRQZ95","conferencePaper","2018","Krishnan, Adit; Sharma, Ashish; Sundaram, Hari","Insights from the Long-Tail: Learning Latent Representations of Online User Behavior in the Presence of Skew and Sparsity","CIKM","978-1-4503-6014-2","","10.1145/3269206.3271706","https://dl.acm.org/doi/10.1145/3269206.3271706","","2018-10-17","2021-09-12 07:42:55","2021-09-14 04:13:12","2021-09-12 07:42:55","297-306","","","","","","Insights from the Long-Tail","","","","","ACM","Torino Italy","en","","","","","DOI.org (Crossref)","","","","C:\Users\Administrator\Zotero\storage\9UH99QIF\Krishnan 等。 - 2018 - Insights from the Long-Tail Learning Latent Repre.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CIKM '18: The 27th ACM International Conference on Information and Knowledge Management","","","","","","","","","","","","","","",""
