uid,sid
2427,283
2427,285
2427,63
2427,67
2427,300
2427,301
2427,577
2427,304
2427,100
2427,108
2427,109
2427,110
2427,163
2427,330
2427,335
2427,374
2427,591
2427,444
2427,259
5543,1
5543,23
5543,592
5543,37
5543,51
5543,61
5543,63
5543,64
5543,66
5543,300
5543,103
5543,108
5543,119
5543,345
5543,593
2718,4
2718,7
2718,8
2718,10
2718,280
2718,33
2718,35
2718,36
2718,37
2718,57
2718,64
2718,78
2718,299
2718,107
2718,112
2718,311
2718,116
2718,125
2718,578
2718,134
2718,135
2718,140
2718,141
2718,153
2718,156
2718,337
2718,205
2718,210
2718,214
2718,695
8119,0
8119,1
8119,4
8119,8
8119,279
8119,23
8119,30
8119,576
8119,33
8119,35
8119,285
8119,47
8119,49
8119,51
8119,52
8119,54
8119,56
8119,60
8119,61
8119,64
8119,69
8119,78
8119,80
8119,783
8119,90
8119,92
8119,93
8119,300
8119,100
8119,103
8119,105
8119,114
8119,116
8119,119
8119,123
8119,127
8119,129
8119,132
8119,134
8119,137
8119,140
8119,142
8119,144
8119,147
8119,153
8119,156
8119,160
8119,162
8119,330
8119,639
8119,179
8119,337
8119,338
8119,642
8119,597
8119,196
8119,198
8119,354
8119,202
8119,598
8119,358
8119,204
8119,362
8119,367
8119,784
8119,211
8119,378
8119,381
8119,216
8119,388
8119,224
8119,226
8119,785
8119,396
8119,622
8119,399
8119,228
8119,786
8119,669
8119,401
8119,787
8119,788
8119,232
8119,407
8119,789
8119,408
8119,410
8119,411
8119,681
8119,424
8119,682
8119,428
8119,790
8119,242
8119,582
8119,696
8119,449
8119,457
8119,701
8119,791
8119,610
8119,792
8119,585
8119,249
8119,250
8119,471
8119,251
8119,473
8119,252
8119,717
8119,256
8119,483
8119,487
8119,489
8119,491
8119,492
8119,726
8119,501
8119,574
8119,793
8119,509
8119,512
8119,794
8119,795
8119,750
8119,753
8119,796
8119,528
8119,797
6949,1
6949,17
6949,26
6949,284
6949,30
6949,31
6949,40
6949,53
6949,595
6949,83
6949,301
6949,577
6949,120
6949,316
6949,337
6949,354
6949,355
6949,368
6949,216
6949,816
6949,402
6949,408
6949,415
6949,436
6949,249
6949,717
6949,487
6949,729
6949,748
2271,282
2271,23
2271,576
2271,36
2271,90
2271,103
2271,136
2271,154
2271,636
2271,637
2271,340
2271,361
2271,663
2271,403
2271,417
2271,242
2271,696
2271,585
2271,248
2271,547
2271,780
2497,23
2497,37
2497,42
2497,64
2497,90
2497,113
2497,119
2497,136
2497,149
2497,153
2497,166
2497,371
2497,509
2497,529
8038,1
8038,283
8038,23
8038,29
8038,35
8038,36
8038,37
8038,39
8038,287
8038,64
8038,100
8038,307
8038,109
8038,110
8038,114
8038,116
8038,124
8038,134
8038,147
8038,163
8038,178
8038,342
8038,347
8038,562
8038,787
8038,406
8038,237
8038,681
8038,437
8038,440
8038,695
8038,477
8038,825
8038,826
8038,774
8038,759
1416,1
1416,22
1416,284
1416,30
1416,285
1416,49
1416,288
1416,560
1416,54
1416,55
1416,60
1416,61
1416,69
1416,79
1416,80
1416,83
1416,90
1416,100
1416,113
1416,114
1416,119
1416,129
1416,138
1416,150
1416,154
1416,156
1416,158
1416,164
1416,335
1416,336
1416,178
1416,338
1416,185
1416,597
1416,198
1416,647
1416,353
1416,204
1416,205
1416,849
1416,210
1416,375
1416,379
1416,567
1416,216
1416,386
1416,393
1416,394
1416,225
1416,401
1416,672
1416,404
1416,236
1416,407
1416,410
1416,237
1416,411
1416,850
1416,434
1416,240
1416,452
1416,454
1416,460
1416,461
1416,245
1416,466
1416,573
